tank,FLUCT,pred,COMP,Cer_ug,Dapp_ug,Sca_ug,Clad_ug,e_chl,i_chl,cop_ug
32,150,,CERDAP,0.022447037,0.902831601,,,32.08,0.005,
32,150,,CERDAP,0.022447037,1.805663202,,,64.38,3.27,
32,150,,CERDAP,0.022447037,0.902831601,,,127.63,2.28,
32,150,,CERDAP,0.022447037,3.797099337,,,97.51,8.85,
32,150,,CERDAP,0.022447037,3.611326405,,,52.32,3.13,
32,150,,CERDAP,4.561864506,1.805663202,,,47.26,0.9,
32,150,,CERDAP,0.022447037,0.902831601,,,35.31,0.82,
32,150,,CERDAP,0.022447037,0.902831601,,,35.31,0.82,
32,150,,CERDAP,23.69403001,1.805663202,,,14.61,11.69,
32,150,,CERDAP,59.26765867,650.5973141,,,21.28,4.25,
32,150,,CERDAP,0.022447037,0.902831601,,,29.43,155.66,
32,150,,CERDAP,171.627867,0.902831601,,,7.49,5.92,
32,150,,CERDAP,211.8821168,0.902831601,,,32.76,17.44,
32,150,,CERDAP,169.5617151,7.22265281,,,10.26,0.17,
32,150,,CERDAP,28.92930563,0.902831601,,,165.58,33.27,
32,150,,CERDAP,137.5562065,0.902831601,,,160.5,43.01,
32,150,,CERDAP,66.36699724,3.611326405,,,12.3,40.88,
32,150,,CERDAP,65.32663157,0.902831601,,,27.5,5.14,
32,150,,CERDAP,285.3794699,0.902831601,,,4.01,1.17,
32,150,,CERDAP,229.9541556,0.902831601,,,5.45,0.35,
32,150,,CERDAP,233.0638058,0.902831601,,,4.11,1.22,
32,150,,CERDAP,325.9807227,3.611326405,,,43.42,106.91,
32,150,,CERDAP,315.831017,0.902831601,,,5.36,0.31,
32,150,,CERDAP,327.1299348,0.902831601,,,36.36,337.65,
32,150,,CERDAP,911.7259692,0.902831601,,,19.07,16.48,
32,150,,CERDAP,145.2020759,21.85373136,,,9.2,1.02,
41,150,,CERDAP,0.410633676,0.902831601,,,124.32,13.39,
41,150,,CERDAP,0.022447037,0.902831601,,,109.2,9.43,
41,150,,CERDAP,0.022447037,5.602762539,,,153.24,5.48,
41,150,,CERDAP,0.45552775,12.32016267,,,54.04,0.09,
41,150,,CERDAP,5.247234674,1408.301484,,,2.82,0.42,
41,150,,CERDAP,1.449784395,733.6082401,,,1.81,0.36,
41,150,,CERDAP,0.359152596,443.7033036,,,1,0.27,
41,150,,CERDAP,3.419751628,297.7415724,,,1,0.27,
41,150,,CERDAP,11.09248129,443.2276255,,,1.73,0.08,
41,150,,CERDAP,10.25266788,869.090887,,,8.11,0.005,
41,150,,CERDAP,1108.686625,0.902831601,,,1.87,0.09,
41,150,,CERDAP,0.022447037,796.3945215,,,2.29,0.2,
41,150,,CERDAP,3.285069405,673.8176882,,,2.49,0.65,
41,150,,CERDAP,0.718305193,809.7701726,,,2.17,0.33,
41,150,,CERDAP,2.82295465,421.3514026,,,1.84,0.44,
41,150,,CERDAP,34.95291358,1064.673998,,,1.98,1.18,
41,150,,CERDAP,101.5258351,476.5767871,,,1.78,0.78,
41,150,,CERDAP,124.494973,329.151364,,,3.56,0.005,
41,150,,CERDAP,424.017994,245.9867245,,,1.76,0.92,
41,150,,CERDAP,112.1347135,111.4458659,,,1.84,0.64,
41,150,,CERDAP,98.17316852,157.6204428,,,1.46,0.5,
41,150,,CERDAP,104.2799776,156.1046848,,,2.85,12.51,
41,150,,CERDAP,45.30975858,0.902831601,,,1.7,0.31,
41,150,,CERDAP,64.96332188,69.61862401,,,9.89,87.62,
41,150,,CERDAP,109.9390609,216.9624064,,,5.77,6.02,
41,150,,CERDAP,183.0755343,212.7416951,,,36.04,1573.98,
58,150,,CERDAP,0.022447037,5.416989607,,,72.86,2.48,
58,150,,CERDAP,0.022447037,0.902831601,,,144.44,21.28,
58,150,,CERDAP,0.022447037,30.24308788,,,145.68,26.11,
58,150,,CERDAP,0.044894075,194.6638139,,,34.95,6.04,
58,150,,CERDAP,0.022447037,1446.911437,,,1.79,0.3,
58,150,,CERDAP,0.044894075,469.8818785,,,2.39,0.41,
58,150,,CERDAP,0.955949575,624.5453629,,,2.09,8.56,
58,150,,CERDAP,2.598484277,356.8681885,,,2.09,8.56,
58,150,,CERDAP,2.688272426,455.1691593,,,3.44,70.43,
58,150,,CERDAP,0.022447037,992.2533713,,,3.46,0.15,
58,150,,CERDAP,0.022447037,0.902831601,,,6,104.83,
58,150,,CERDAP,12.9343533,105.9922186,,,2.37,3.67,
58,150,,CERDAP,121.4948719,215.3733331,,,5.06,24.47,
58,150,,CERDAP,157.1348829,551.0042582,,,2,2.34,
58,150,,CERDAP,101.4994871,266.1684994,,,51.33,439.17,
58,150,,CERDAP,100.4747254,228.9855809,,,2.18,24.61,
58,150,,CERDAP,124.2148644,108.5480566,,,2.45,0.005,
58,150,,CERDAP,26.67679994,89.64420063,,,3.51,9.67,
58,150,,CERDAP,27.99190211,65.42748727,,,2.49,9,
