tank	DATES	FLUCT	Cer_ug	Dapp_ug	e_chl	i_chl
2	5/11/2005	181	0.022447037	0.902831601	122.52	29.32
2	5/16/2005	134	0.022447037	0.902831601	120.65	0.005
2	5/20/2005	218	0.022447037	0.902831601	62.57	6.03
2	5/25/2005	161	0.022447037	1.805663202	110.23	0.005
2	5/30/2005	120	0.022447037	14.44530562	168.87	0.005
2	6/3/2005	207	0.022447037	51.3016614	183.67	0.005
2	6/8/2005	153	0.022447037	515.2342079	12.18	0.1
2	6/13/2005	114	0.022447037	78.29788569	2.26	0.005
2	6/17/2005	203	5.428025931	160.1396232	1.44	0.04
2	6/22/2005	150	0.022447037	306.1238459	1.42	0.08
2	6/27/2005	112	2.919329803	695.2998737	1.42	0.08
2	7/1/2005	201	0.410633676	209.7918197	1.13	0.33
2	7/6/2005	148	3.73401015	646.5315587	7.47	2.36
2	7/11/2005	111	0.022447037	0.902831601	1.13	0.19
2	7/15/2005	188	53.22671963	269.7656598	0.98	0.04
2	7/20/2005	148	91.46470262	102.0684955	1.61	0.005
2	7/25/2005	111	98.19049962	32.60606988	1.19	0.28
2	7/29/2005	188	634.6215885	89.64420063	1.64	0.06
2	8/3/2005	148	641.1917273	76.44848182	1.58	0.09
2	8/8/2005	110	905.4338901	87.50489159	1.97	0.81
2	8/12/2005	188	429.05585	71.57340252	1.76	0.66
2	8/17/2005	148	874.1251985	57.78122248	2.52	0.64
2	8/22/2005	110	1050.472696	126.7088209	2.31	0.11
2	8/26/2005	188	1111.605633	175.0381154	2.37	0.1
2	8/31/2005	148	964.8813156	258.2027549	2.21	0.66
2	9/5/2005	110	412.5407149	34.35966696	2.68	0.46
2	9/9/2005	200	148.9558471	110.4578521	2.53	0.07
2	9/14/2005	166	193.9213543	189.2455819	2.85	0.73
2	9/19/2005	131	403.1464065	83.82609058	2.84	1.14
31	5/11/2005	136.7	0.022447037	0.902831601	72.97	32.82
31	5/16/2005	193	0.022447037	0.902831601	138.97	3.42
31	5/20/2005	151	0.022447037	1.805663202	134.67	25.42
31	5/25/2005	113	0.022447037	27.08494804	35.97	11.64
31	5/30/2005	177	0.022447037	20.47168014	115.29	17.78
31	6/3/2005	139	0.022447037	199.9387713	59.71	3.76
31	6/8/2005	104	0.022447037	590.5443182	15.47	1.61
31	6/13/2005	171	0.821267351	717.153605	17.11	12.32
31	6/17/2005	134	0.089788149	526.3922651	7.17	1.52
31	6/22/2005	101	1.231901027	425.4088325	1.48	0.04
31	6/27/2005	168	0.821267351	127.2140736	1.48	0.04
31	7/1/2005	133	0.821267351	386.947995	3.17	0.005
31	7/6/2005	99	106.0469627	650.5973141	2.64	0.49
31	7/11/2005	167	0.022447037	0.902831601	1.69	0.38
31	7/15/2005	132	0.022447037	179.4966657	2.29	0.51
31	7/20/2005	99	3.285069405	261.3384032	2.19	0.04
31	7/25/2005	167	6.839503256	200.6889461	10.87	0.07
31	7/29/2005	131	8.34076873	121.3214058	3.73	0.86
31	8/3/2005	99	36.77502458	279.5441505	2.98	0.01
31	8/8/2005	167	262.5684202	604.3552625	4.72	0.27
31	8/12/2005	131	328.1810446	139.3413802	3.8	0.8
31	8/17/2005	99	530.935978	172.0374163	3.11	0.61
31	8/22/2005	166	617.1021554	806.7978057	3.05	0.23
31	8/26/2005	131	755.8675598	799.2485901	3.43	0.22
31	8/31/2005	99	545.2029551	775.9170007	2.44	0.44
31	9/5/2005	166	367.011858	621.8770673	2.7	0.69
31	9/9/2005	131	213.7042278	318.2132526	2.37	0.52
31	9/14/2005	99	447.2481821	354.2673675	2.49	0.16
31	9/19/2005	166	90.18253547	61.31090819	2.04	0.31
32	5/11/2005	181	0.022447037	0.902831601	129.47	9.66
32	5/16/2005	134	0.022447037	0.902831601	22.61	0.005
32	5/20/2005	218	0.022447037	0.902831601	13.06	0.005
32	5/25/2005	150	0.022447037	0.902831601	32.08	0.005
32	5/30/2005	150	0.022447037	1.805663202	64.38	3.27
32	6/3/2005	150	0.022447037	0.902831601	127.63	2.28
32	6/8/2005	150	0.022447037	3.797099337	97.51	8.85
32	6/13/2005	150	0.022447037	3.611326405	52.32	3.13
32	6/17/2005	150	4.561864506	1.805663202	47.26	0.9
32	6/22/2005	150	0.022447037	0.902831601	35.31	0.82
32	6/27/2005	150	0.022447037	0.902831601	35.31	0.82
32	7/1/2005	150	23.69403001	1.805663202	14.61	11.69
32	7/6/2005	150	59.26765867	650.5973141	21.28	4.25
32	7/11/2005	150	0.022447037	0.902831601	29.43	155.66
32	7/15/2005	150	171.627867	0.902831601	7.49	5.92
32	7/20/2005	150	211.8821168	0.902831601	32.76	17.44
32	7/25/2005	150	169.5617151	7.22265281	10.26	0.17
32	7/29/2005	150	28.92930563	0.902831601	165.58	33.27
32	8/3/2005	150	137.5562065	0.902831601	160.5	43.01
32	8/8/2005	150	66.36699724	3.611326405	12.3	40.88
32	8/12/2005	150	65.32663157	0.902831601	27.5	5.14
32	8/17/2005	150	285.3794699	0.902831601	4.01	1.17
32	8/22/2005	150	229.9541556	0.902831601	5.45	0.35
32	8/26/2005	150	233.0638058	0.902831601	4.11	1.22
32	8/31/2005	150	325.9807227	3.611326405	43.42	106.91
32	9/5/2005	150	315.831017	0.902831601	5.36	0.31
32	9/9/2005	150	327.1299348	0.902831601	36.36	337.65
32	9/14/2005	150	911.7259692	0.902831601	19.07	16.48
32	9/19/2005	150	145.2020759	21.85373136	9.2	1.02
41	5/11/2005	136.7	0.022447037	0.902831601	61.66	2.17
41	5/16/2005	193	0.022447037	0.902831601	48.31	4.57
41	5/20/2005	151	0.022447037	0.902831601	47.91	12.43
41	5/25/2005	150	0.410633676	0.902831601	124.32	13.39
41	5/30/2005	150	0.022447037	0.902831601	109.2	9.43
41	6/3/2005	150	0.022447037	5.602762539	153.24	5.48
41	6/8/2005	150	0.45552775	12.32016267	54.04	0.09
41	6/13/2005	150	5.247234674	1408.301484	2.82	0.42
41	6/17/2005	150	1.449784395	733.6082401	1.81	0.36
41	6/22/2005	150	0.359152596	443.7033036	1	0.27
41	6/27/2005	150	3.419751628	297.7415724	1	0.27
41	7/1/2005	150	11.09248129	443.2276255	1.73	0.08
41	7/6/2005	150	10.25266788	869.090887	8.11	0.005
41	7/11/2005	150	1108.686625	0.902831601	1.87	0.09
41	7/15/2005	150	0.022447037	796.3945215	2.29	0.2
41	7/20/2005	150	3.285069405	673.8176882	2.49	0.65
41	7/25/2005	150	0.718305193	809.7701726	2.17	0.33
41	7/29/2005	150	2.82295465	421.3514026	1.84	0.44
41	8/3/2005	150	34.95291358	1064.673998	1.98	1.18
41	8/8/2005	150	101.5258351	476.5767871	1.78	0.78
41	8/12/2005	150	124.494973	329.151364	3.56	0.005
41	8/17/2005	150	424.017994	245.9867245	1.76	0.92
41	8/22/2005	150	112.1347135	111.4458659	1.84	0.64
41	8/26/2005	150	98.17316852	157.6204428	1.46	0.5
41	8/31/2005	150	104.2799776	156.1046848	2.85	12.51
41	9/5/2005	150	45.30975858	0.902831601	1.7	0.31
41	9/9/2005	150	64.96332188	69.61862401	9.89	87.62
41	9/14/2005	150	109.9390609	216.9624064	5.77	6.02
41	9/19/2005	150	183.0755343	212.7416951	36.04	1573.98
58	5/11/2005	181	0.022447037	0.902831601	120.13	1.62
58	5/16/2005	134	0.022447037	0.902831601	54.19	1.15
58	5/20/2005	218	0.022447037	0.902831601	11.71	0.48
58	5/25/2005	150	0.022447037	5.416989607	72.86	2.48
58	5/30/2005	150	0.022447037	0.902831601	144.44	21.28
58	6/3/2005	150	0.022447037	30.24308788	145.68	26.11
58	6/8/2005	150	0.044894075	194.6638139	34.95	6.04
58	6/13/2005	150	0.022447037	1446.911437	1.79	0.3
58	6/17/2005	150	0.044894075	469.8818785	2.39	0.41
58	6/22/2005	150	0.955949575	624.5453629	2.09	8.56
58	6/27/2005	150	2.598484277	356.8681885	2.09	8.56
58	7/1/2005	150	2.688272426	455.1691593	3.44	70.43
58	7/6/2005	150	0.022447037	992.2533713	3.46	0.15
58	7/11/2005	150	0.022447037	0.902831601	6	104.83
58	7/15/2005	150	12.9343533	105.9922186	2.37	3.67
58	7/20/2005	150	121.4948719	215.3733331	5.06	24.47
58	7/25/2005	150	157.1348829	551.0042582	2	2.34
58	7/29/2005	150	101.4994871	266.1684994	51.33	439.17
58	8/3/2005	150	100.4747254	228.9855809	2.18	24.61
58	8/8/2005	150	124.2148644	108.5480566	2.45	0.005
58	8/12/2005	150	26.67679994	89.64420063	3.51	9.67
58	8/17/2005	150	27.99190211	65.42748727	2.49	9
