TANK	DATES	FLUCT	PRED	Cer_ug	Sca_ug	Dapp_ug	Clad_ug	Cop_ug	e_chl	i_chl
8	2005-05-11	150	1	0.410633676	0.0284	19.86229523	0.0339	1.106128	43.54	0.53
8	2005-05-16	150	1	0.022	1.298938186	0.903	0.0339	0.510199	0.49	0.005
8	2005-05-20	150	1	0.022	2.329897948	0.903	0.0339	0.0429	56.79	5.48
8	2005-05-25	150	1	0.022	3.896814559	0.903	0.717721854	1.714491739	83.26	3.13
8	2005-05-30	150	1	0.866161426	6.891983787	0.903	1.167569579	5.522270457	69.25	0.005
8	2005-06-03	150	1	1.777216926	63.45676544	0.903	1.628923415	4.344742584	87.63	6.09
8	2005-06-08	150	1	23.50786671	774.5806509	29.2621571	38.78531638	7.871540166	3.47	0.55
8	2005-06-13	150	1	108.3904715	4.618841961	63.58570155	135.8721122	12.94284681	0.99	0.005
8	2005-06-17	150	1	113.7060061	10.07322357	45.00787325	78.42494782	31.33601457	1.03	0.13
8	2005-06-22	150	1	112.6854014	31.68598031	53.87290786	62.44404659	8.22081863	0.83	0.005
8	2005-06-27	150	1	134.9547801	53.42739275	53.73717732	102.2998062	6.114015841	0.83	0.005
8	2005-07-01	150	1	254.7124694	46.7372817	153.4883101	811.8304324	6.365713077	1.32	0.07
8	2005-07-06	150	1	154.8579468	94.26783163	267.0106701	309.3902382	11.37909523	1.35	0.09
8	2005-07-11	150	1	0.022	0.0284	0.903	0.0339	0.0429	1.01	0.32
8	2005-07-15	150	1	125.5509426	90.59804156	449.054061	475.9147502	27.16596632	1.04	0.04
8	2005-07-20	150	1	66.41969328	71.504809	215.6099298	246.6014597	52.99371535	1.18	0.01
8	2005-07-25	150	1	19.68406841	31.52795845	49.28065068	169.8470527	38.39498398	1.11	0.06
8	2005-07-29	150	1	21.12067879	22.82623138	31.86297815	165.0913075	34.90267172	1.31	0.12
8	2005-08-03	150	1	39.60040915	18.29864685	0.903	96.66589318	28.396017	1.1	0.12
8	2005-08-08	150	1	20.42872162	20.00133052	0.903	58.84732145	27.37700231	1.57	0.15
8	2005-08-12	150	1	28.10266624	11.91746817	17.41767253	265.5042505	16.97872895	2.43	0.005
8	2005-08-17	150	1	71.88602628	34.6804908	76.15025121	221.9920236	12.00441312	1.86	0.25
8	2005-08-22	150	1	39.47768598	31.57826195	2.362981998	320.5879675	15.51010363	2.22	0.005
8	2005-08-26	150	1	63.21123802	35.13453978	0.903	318.3035556	22.98224673	2.07	0.35
8	2005-08-31	150	1	89.81142382	40.81594587	19.91436134	506.9776529	16.94176214	1.72	0.11
8	2005-09-05	150	1	53.86841068	40.50701351	10.83397921	314.3215787	27.56489526	1.78	0.11
8	2005-09-09	150	1	67.82995565	49.48606857	5.097509861	228.8883497	21.80928409	1.64	0.18
8	2005-09-14	150	1	84.80720557	53.21906739	75.94198674	268.6179511	32.43087284	2.22	0.13
8	2005-09-19	150	1	79.44261977	31.65727288	19.17126962	94.81976681	11.23622054	2.28	0.8
13	2005-05-10	136.7	1	0.022	6.169956385	7.22265281	0.0339	0.424468	94.28	6.66
13	2005-05-15	193	1	0.410633676	4.546283652	1.805663202	0.0339	0.580433	47.01	4.36
13	2005-05-20	151	1	1.231901027	15.91199278	0.903	0.0339	1.978811	48.31	5.62
13	2005-05-25	113.2617177	1	0.022	23.38088736	0.903	0.271119635	0.0429	33.16	0.005
13	2005-05-30	176.9403713	1	3.098906102	83.22817453	3.611326405	4.546922748	1.055997053	47.3	8.9
13	2005-06-03	139.3245385	1	12.53567868	365.6634808	43.06850323	46.93595774	1.697872895	14.06	0.11
13	2005-06-08	104.3847445	1	89.65090579	194.3390104	45.29777841	58.45073474	22.56541664	2.24	0.005
13	2005-06-13	170.5697745	1	143.5834593	1.907453344	3.797099337	83.64733101	90.47287874	2.06	0.005
13	2005-06-17	134.4390019	1	101.8161756	92.10951953	24.95980509	73.35101251	51.81108808	1.55	0.28
13	2005-06-22	100.8786188	1	297.5740298	80.15043869	91.33864855	125.9945932	58.40663526	1.43	0.05
13	2005-06-27	168.0535889	1	414.7458966	48.39545575	45.93673791	67.3290109	13.57890466	1.43	0.05
13	2005-07-01	132.5093683	1	317.1048699	46.29613797	113.5414342	135.4341275	7.477334416	2.51	0.13
13	2005-07-06	99.4938092	1	0.022	0.0284	0.903	0.0339	0.0429	2.64	0.2
13	2005-07-11	167.0597745	1	0.022	0.0284	0.903	0.0339	0.0429	2.05	0.13
13	2005-07-15	131.7472236	1	729.6875368	139.8828961	744.7379651	821.2081184	34.02439469	3.02	0.23
13	2005-07-20	98.94685291	1	880.2932083	87.6725337	544.6429955	608.2855045	19.4800005	2.63	0.03
13	2005-07-25	166.6672491	1	777.6226399	65.07332681	649.5088952	730.1392677	11.60137642	1.74	0.06
13	2005-07-29	131.4462004	1	131.6828847	18.24834335	50.76683414	64.39103954	9.189610051	2.41	13.17
13	2005-08-03	98.73082234	1	396.0040915	28.5766401	14.44530562	144.143663	42.83994638	1.74	0.04
13	2005-08-08	166.5122138	1	27.17843673	13.44343084	0.903	20.76595008	10.70835823	1.96	0.08
13	2005-08-12	131.3273057	1	238.3207601	13.89747982	0.903	88.38165508	34.74370592	22.38	4987.38
13	2005-08-17	98.64549705	1	95.26701273	19.09323256	14.44530562	69.58224869	6.824959976	2.37	2.91
13	2005-08-22	166.4509798	1	73.11671235	19.91297002	93.89448653	155.2166503	23.31219077	2.41	0.28
13	2005-08-26	131.280346	1	69.19410898	24.65177685	0.903	144.1153884	26.01884519	1.86	0.21
13	2005-08-31	98.61179624	1	22.58242224	25.09292058	2.177209066	97.44737481	33.04443598	41.03	2280.54
13	2005-09-05	166.4267943	1	18.7598389	12.0467826	0.903	95.03895381	100.4518219	5.56	4821.53
13	2005-09-09	131.2617984	1	75.86963987	7.427940636	1.805663202	104.460242	74.52615132	49.49	5488.73
13	2005-09-14	98.59848548	1	111.4535004	8.288632031	0.903	82.96894502	66.13558041	49.81	9949.64
13	2005-09-19	166.4172417	1	91.16604802	7.727523433	3.611326405	90.40687128	49.604305	6.81	281.98
