tank	DATES	FLUCT	Cer_ug	Dapp_ug	e_chl	i_chl
2	2005/05/25	161	0.022447037	1.805663202	110.23	0.005
2	2005/05/30	120	0.022447037	14.44530562	168.87	0.005
2	2005/06/03	207	0.022447037	51.3016614	183.67	0.005
2	2005/06/08	153	0.022447037	515.2342079	12.18	0.1
2	2005/06/13	114	0.022447037	78.29788569	2.26	0.005
2	2005/06/17	203	5.428025931	160.1396232	1.44	0.04
2	2005/06/22	150	0.022447037	306.1238459	1.42	0.08
2	2005/06/27	112	2.919329803	695.2998737	1.42	0.08
2	2005/07/01	201	0.410633676	209.7918197	1.13	0.33
2	2005/07/06	148	3.73401015	646.5315587	7.47	2.36
2	2005/07/11	111	0.022447037	0.902831601	1.13	0.19
2	2005/07/15	188	53.22671963	269.7656598	0.98	0.04
2	2005/07/20	148	91.46470262	102.0684955	1.61	0.005
2	2005/07/25	111	98.19049962	32.60606988	1.19	0.28
2	2005/07/29	188	634.6215885	89.64420063	1.64	0.06
2	2005/08/03	148	641.1917273	76.44848182	1.58	0.09
2	2005/08/08	110	905.4338901	87.50489159	1.97	0.81
2	2005/08/12	188	429.05585	71.57340252	1.76	0.66
2	2005/08/17	148	874.1251985	57.78122248	2.52	0.64
2	2005/08/22	110	1050.472696	126.7088209	2.31	0.11
2	2005/08/26	188	1111.605633	175.0381154	2.37	0.1
2	2005/08/31	148	964.8813156	258.2027549	2.21	0.66
2	2005/09/05	110	412.5407149	34.35966696	2.68	0.46
2	2005/09/09	200	148.9558471	110.4578521	2.53	0.07
2	2005/09/14	166	193.9213543	189.2455819	2.85	0.73
2	2005/09/19	131	403.1464065	83.82609058	2.84	1.14
31	2005/05/25	113	0.022447037	27.08494804	35.97	11.64
31	2005/05/30	177	0.022447037	20.47168014	115.29	17.78
31	2005/06/03	139	0.022447037	199.9387713	59.71	3.76
31	2005/06/08	104	0.022447037	590.5443182	15.47	1.61
31	2005/06/13	171	0.821267351	717.153605	17.11	12.32
31	2005/06/17	134	0.089788149	526.3922651	7.17	1.52
31	2005/06/22	101	1.231901027	425.4088325	1.48	0.04
