TANK	DATES	Dapp_ug	e_chl	i_chl
16	2005/05/25	1.991436134	94.77	0.005
16	2005/05/30	1	109.98	2.93
16	2005/06/03	9.214088944	136.38	14.64
16	2005/06/08	7.408425742	80.99	0.09
16	2005/06/13	465.2079806	2.88	0.02
16	2005/06/17	234.0405925	1.63	0.65
16	2005/06/22	823.6806509	1.07	0.31
16	2005/06/27	123.7139624	1.07	0.31
16	2005/07/01	1134.136423	1.82	0.4
16	2005/07/06	510.6690405	1.06	0.37
16	2005/07/11	206.0763611	0.94	0.07
16	2005/07/15	184.2001382	1.11	0.005
16	2005/07/20	27.4564939	1.23	0.17
16	2005/07/25	68.4519203	1.35	0.43
16	2005/07/29	92.66863366	1.63	0.44
16	2005/08/03	219.9051987	1.4	0.02
16	2005/08/08	261.048498	1.83	0.13
16	2005/08/12	145.0624411	1.72	0.13
16	2005/08/17	98.06313173	2.36	0.64
16	2005/08/22	62.55925259	2.7	0.36
16	2005/08/26	20.62787849	3.29	0.2
16	2005/08/31	139.2963972	5.13	0.85
16	2005/09/05	57.61794108	4.01	0.36
16	2005/09/09	93.33008469	3.63	0.6
16	2005/09/14	685.3522608	3.5	0.53
16	2005/09/19	168.5514712	3.24	0.44
17	2005/05/25	1	110.77	0.005
17	2005/05/30	2.362981998	106.82	6.15
17	2005/06/03	1	188.4	19.87
17	2005/06/08	202.7253653	37.66	0.07
17	2005/06/13	305.3749135	1.56	0.15
17	2005/06/17	713.6014278	1.6	1.21
17	2005/06/22	384.4950468	0.98	0.005
17	2005/06/27	478.2854011	0.98	0.005
17	2005/07/01	693.3746697	1.48	0.03
17	2005/07/06	908.0332433	1.53	0.14
17	2005/07/11	72.59807396	1.2	0.54
17	2005/07/15	112.3747305	1.21	0.29
17	2005/07/20	99.86879493	1.1	0.12
17	2005/07/25	275.7612173	0.84	0.04
17	2005/07/29	56.95649005	1.12	0.15
17	2005/08/03	204.6943099	1.15	0.15
17	2005/08/08	245.6743278	1.12	0.69
17	2005/08/12	87.60069838	1.16	0.25
17	2005/08/17	294.746714	1.34	0.24
17	2005/08/22	39.08563096	1.28	0.51
17	2005/08/26	66.67583168	1.05	0.2
17	2005/08/31	66.80953849	1.23	0.44
17	2005/09/05	191.7718453	1.3	0.07
17	2005/09/09	49.12445233	1.31	0.6
17	2005/09/14	13.38273414	1.5	0.5
17	2005/09/19	170.1263784	1.66	0.4
27	2005/05/25	10.88604533	130.69	0.005
27	2005/05/30	67.57512175	85.46	5.77
27	2005/06/03	107.8795225	7.24	0.79
27	2005/06/08	233.8606602	3.25	0.01
27	2005/06/13	150.39779	5.14	0.005
27	2005/06/17	374.0326135	2.47	0.2
27	2005/06/22	263.1228173	2.35	0.44
27	2005/06/27	612.1577257	2.35	0.44
27	2005/07/01	488.0047428	3.08	0.09
27	2005/07/06	503.8629166	3.76	0.33
27	2005/07/11	727.1711773	2.04	0.23
27	2005/07/15	634.0930977	2.12	0.08
27	2005/07/20	294.2118867	1.96	0.07
27	2005/07/25	19.35704255	2.5	0.005
27	2005/07/29	3.797099337	1.81	12.32
27	2005/08/03	1	21.17	2463.76
27	2005/08/08	1	5.14	0.67
27	2005/08/12	1	111.85	681.52
27	2005/08/17	1	26.77	5.21
27	2005/08/22	6.345854267	49.59	5.9
27	2005/08/26	56.65950184	36.59	30.1
27	2005/08/31	1295.26903	491.62	9507.83
27	2005/09/05	123.1720521	6.62	1266.76
27	2005/09/09	219.1029579	7.07	9992.38
27	2005/09/14	11.73326929	19.36	2138.47
27	2005/09/19	82.81558522	3.18	1.73
60	2005/05/25	1	33.55	1.14
60	2005/05/30	3.982872269	100.86	19.27
60	2005/06/03	138.0634613	101.32	7.04
60	2005/06/08	818.7538769	3.92	0.005
60	2005/06/13	882.2049651	5.07	0.34
60	2005/06/17	1475.309719	5.01	0.31
60	2005/06/22	457.8220464	3.05	0.18
60	2005/06/27	327.9325942	3.05	0.18
60	2005/07/01	480.5146763	4.78	0.57
60	2005/07/06	1090.963788	5.75	2.4
60	2005/07/11	359.2903197	3.48	0.26
60	2005/07/15	707.0485515	4.15	0.86
60	2005/07/20	516.0339639	4.12	0.18
60	2005/07/25	1088.452933	3.07	0.38
60	2005/07/29	632.5477651	3.62	0.85
60	2005/08/03	1696.343722	2	0.15
60	2005/08/08	619.8110735	2.63	0.44
60	2005/08/12	436.1682541	3.39	0.87
60	2005/08/17	572.759698	2.75	0.34
60	2005/08/22	560.8110812	2.54	0.57
60	2005/08/26	361.3113304	2.78	0.52
60	2005/08/31	422.6743047	2.87	0.75
