TANK	DATES	Cer_ug	Dapp_ug	Clad_ug	e_chl	i_chl
44	2005-05-25	0.022447037	0.902	0.135559817	159.27	1.78
44	2005-05-30	0.022447037	0.902	0.033889954	109.2	3.61
44	2005-06-03	0.022447037	3.982872269	0.033889954	135.45	0.005
44	2005-06-08	0.022447037	21.77209066	0.033889954	71.52	0.005
44	2005-06-13	0.022447037	765.95982	0.033889954	2.05	0.25
44	2005-06-17	0.022447037	1211.504202	0.033889954	1.51	0.66
44	2005-06-22	0.022447037	403.2722791	0.033889954	1.16	0.13
44	2005-06-27	0.821267351	620.064321	0.135559817	1.16	0.13
44	2005-07-01	2.463802053	87.97224424	0.033889954	1.27	0.57
44	2005-07-06	3.009117953	472.4968657	0.067779909	2.04	0.61
44	2005-07-11	0.022447037	0.902	0.033889954	1.54	0.08
44	2005-07-15	3.285069405	1103.787961	0.542239269	1.6	0.16
44	2005-07-20	0.359152596	427.6226992	0.29956017	3.1	0.44
44	2005-07-25	0.022447037	151.245014	0.271119635	2.54	0.03
44	2005-07-29	1.180419947	58.9999923	1.626717807	2.28	0.02
44	2005-08-03	0.044894075	40.38604148	0.135559817	3.3	0.48
44	2005-08-08	0.022447037	3.982872269	0.067779909	2.39	0.25
44	2005-08-12	0.022447037	0.902	0.135559817	5.1	0.47
44	2005-08-17	0.044894075	0.902	1.972727484	5.69	0.8
44	2005-08-22	0.022447037	0.902	2.575636528	12.78	1.16
44	2005-08-26	0.022447037	0.902	6.792211131	5.99	1.6
44	2005-08-31	0.022447037	0.902	3.260545748	21.91	7004.48
44	2005-09-05	0.022447037	5.974308403	5.219052965	8.34	419.67
44	2005-09-09	0.022447037	11.57707094	8.404708671	11.06	260.76
44	2005-09-14	0.022447037	0.902	19.32059539	45.45	6200.66
44	2005-09-19	0.022447037	7.594198674	19.02103522	13.62	546.42
