TANK	DATES	FLUCT	Cer_ug	Sca_ug	Clad_ug	e_chl	i_chl
4	2005/05/25	161.0127787	0.022	36.37026922	0.0339	51.92	0.4
4	2005/05/30	119.9494001	0.022	187.7188227	0.0339	33.81	1.53
4	2005/06/03	206.9790244	0.022	2248.334535	0.0339	16.09	0.78
4	2005/06/08	152.9372674	0.022	2078.770957	0.0339	5	0.15
4	2005/06/13	114.1539759	0.022	546.4621362	0.542239269	1.82	0.1
4	2005/06/17	202.5345809	0.022	507.6204081	1.084478538	1.64	0.09
4	2005/06/22	149.747694	13.85858281	472.1840474	0.271119635	2.06	0.34
4	2005/06/27	111.8649653	222.3814459	241.3264922	1.084478538	2.06	0.34
4	2005/07/01	200.7791652	346.7758867	2.597876373	0.0339	1.55	0.32
4	2005/07/06	148.4879127	85.47402969	25.89395892	0.0339	1.95	0.2
4	2005/07/11	110.960878	140.370847	40.05296454	0.271119635	1.18	0.25
4	2005/07/15	188.2403208	544.0069312	19.32025705	0.0339	1.6	0.82
4	2005/07/20	147.9903386	378.2378065	40.91075899	0.0339	1.69	0.26
4	2005/07/25	110.6037919	391.8426288	81.24105151	0.542239269	1.61	0.18
4	2005/07/29	187.9840565	630.8816941	63.2571309	0.542239269	2.12	0.51
4	2005/08/03	147.7938125	0.044894075	0.028	0.0339	2.5	0.27
4	2005/08/08	110.4627541	479.7060858	41.69243945	0.0339	5.89	2.07
4	2005/08/12	187.8828401	893.3086545	77.28102821	2.168957076	13.02	0.7
4	2005/08/17	147.7161908	1039.350734	184.6272609	0.0339	24.07	5.46
4	2005/08/22	110.4070486	599.5681427	105.3662211	0.813358904	25.41	0.82
4	2005/08/26	187.8428628	526.4777784	101.242382	5.96463196	19.85	0.47
4	2005/08/31	147.6855327	1500.443301	208.5886148	6.506871229	44.33	2.06
4	2005/09/05	110.3850467	315.4096392	101.696431	4.880153422	63.13	3.56
4	2005/09/09	199.6442328	329.4790062	64.16522886	18.43613515	76.42	3.08
4	2005/09/14	166.4200324	473.5048193	132.543316	1.084478538	189.81	5.05
4	2005/09/19	131.2566128	163.2765447	36.20645348	4.337914153	242.19	0.62
21	2005/05/25	150	0.022	69.21586498	0.0339	213.39	8.97
21	2005/05/30	150	0.022	106.1363138	0.067779909	173.02	7.68
21	2005/06/03	150	0.022	535.9900404	0.0339	72.57	14.12
21	2005/06/08	150	0.022	2879.154983	0.0339	33.32	0.005
21	2005/06/13	150	0.022	1750.341858	0.0339	4.17	0.005
21	2005/06/17	150	0.022	1214.949665	0.0339	1.36	0.42
21	2005/06/22	150	0.022	1166.222102	0.0339	0.81	0.07
21	2005/06/27	150	15.2951932	467.3675471	0.0339	0.81	0.07
21	2005/07/01	150	34.83920733	65.65958716	0.0339	2.61	0.43
21	2005/07/06	150	123.7454599	310.0322108	0.0339	4.9	0.43
21	2005/07/11	150	167.0379273	194.8549507	0.0339	2.17	0.005
21	2005/07/15	150	331.3011172	139.9835031	0.813358904	1.3	0.15
21	2005/07/20	150	46.32377624	112.76901	0.271119635	1.68	0.28
21	2005/07/25	150	446.8553917	124.0428029	1.084478538	1.55	0.53
21	2005/07/29	150	281.2277268	129.5661872	0.0339	1.68	0.62
21	2005/08/03	150	293.3695907	110.7257896	0.0339	1.7	0.13
21	2005/08/08	150	314.2794854	121.6977615	0.0339	2.67	0.7
21	2005/08/12	150	1399.611472	208.8414497	0.0339	2.83	1.7
21	2005/08/17	150	624.6609882	232.0959196	0.0339	2.24	2.96
21	2005/08/22	150	786.2256738	191.8662341	0.0339	2.93	2.15
21	2005/08/26	150	291.8539363	131.5604215	0.0339	2.68	0.31
21	2005/08/31	150	238.4691285	199.4586492	0.271119635	4.84	2.96
21	2005/09/05	150	110.6100421	162.7091275	0.0339	7.48	1.1
21	2005/09/09	150	150.9502447	147.8661515	1.626717807	18.45	2.36
21	2005/09/14	150	117.4651493	266.6499929	0.0339	28.39	1.53
21	2005/09/19	150	107.9690937	36.39607971	0.0339	57.86	4.82
33	2005/05/25	113.2617177	0.022	10.4640638	0.0339	162.71	9.48
33	2005/05/30	176.9403713	0.022	39.47605375	0.135559817	170.13	26.02
33	2005/06/03	139.3245385	0.022	232.3403257	0.677799086	114.93	22.03
33	2005/06/08	104.3847445	6.570138809	603.8787913	3.253435615	37.67	2.41
33	2005/06/13	170.5697745	0.022	1017.18343	10.84478538	58.51	1.45
33	2005/06/17	134.4390019	0.022	1005.228563	0.542239269	33.52	1.53
33	2005/06/22	100.8786188	1.436610385	2805.108111	4.989847162	6.02	0.29
33	2005/06/27	168.0535889	75.86305286	709.8291617	3.03716285	6.02	0.29
33	2005/07/01	132.5093683	1374.892358	217.1639243	9.8731153	9.85	1.64
33	2005/07/06	99.4938092	909.7437212	15.58725824	80.82791297	1.48	0.07
33	2005/07/11	167.0597745	290.1635654	24.99586927	154.2243447	1.61	0.005
33	2005/07/15	131.7472236	492.7077146	89.74156459	117.4994841	1.48	0.11
33	2005/07/20	98.94685291	713.2094937	14.02389731	147.9306315	1.93	0.29
33	2005/07/25	166.6672491	489.3172532	17.85750312	42.52650934	1.86	0.83
33	2005/07/29	131.4462004	497.735851	50.8482155	58.52412513	3.1	188.89
33	2005/08/03	98.73082234	420.4361877	15.58725824	11.5500079	1.81	0.47
33	2005/08/08	166.5122138	62.00447005	19.15644131	5.151273056	2.06	0.23
33	2005/08/12	131.3273057	299.7338052	21.69110894	13.01374246	2.41	0.24
33	2005/08/17	98.64549705	99.62953992	19.54728154	12.74262282	1.88	0.34
33	2005/08/22	166.4509798	117.8769979	30.16581152	52.86832874	2.25	0.35
33	2005/08/26	131.280346	11.63779719	3.701394443	9.828086752	2.35	1.67
33	2005/08/31	98.61179624	44.73272262	13.05259061	8.94694794	31.75	1283.41
33	2005/09/05	166.4267943	15.82196304	27.92137713	10.2347662	12.03	54.05
