TANK	DATES	Sca_ug	e_chl	i_chl
3	2005-05-25	5.195752746	229.13	0.005
3	2005-05-30	15.26252369	207.32	40.82
3	2005-06-03	68.62315201	428.13	28.69
3	2005-06-08	236.9431035	80.14	10.63
3	2005-06-13	1.680428855	2.48	0.08
3	2005-06-17	4.505329716	11.17	4.13
3	2005-06-22	35.49733132	93.16	22.13
3	2005-06-27	113.0476554	93.16	22.13
3	2005-07-01	1196.561221	4.75	0.96
3	2005-07-06	366.5871189	1.78	0.6
3	2005-07-11	189.6476102	4.93	0.93
3	2005-07-15	1286.245895	15.02	2.09
3	2005-07-20	816.2135797	2.12	0.01
3	2005-07-25	302.3160131	7.33	0.14
3	2005-07-29	692.7682923	12.9	2.04
3	2005-08-03	832.8585289	2.66	0.19
3	2005-08-08	244.9125329	6.8	0.54
3	2005-08-12	132.3189265	7.75	0.005
3	2005-08-17	247.5104093	18.95	1.75
3	2005-08-22	23.99295819	71.81	0.66
3	2005-08-26	20.25350676	57.64	2.01
3	2005-08-31	28.18356167	77.79	4.13
3	2005-09-05	46.5863712	97.24	9.12
3	2005-09-09	66.30102417	103.22	5.04
3	2005-09-14	43.67310985	180.7	6.73
3	2005-09-19	39.58956599	178.24	5.38
30	2005-05-25	35.07133103	105.12	0.005
30	2005-05-30	200.1248412	91.05	0.47
30	2005-06-03	281.753836	83.74	2.18
30	2005-06-08	559.959823	68.44	2.31
30	2005-06-13	1807.074804	34.69	3.17
30	2005-06-17	76.6854183	36.27	4.04
30	2005-06-22	5581.127624	7.32	0.33
30	2005-06-27	2134.175472	7.32	0.33
30	2005-07-01	449.4147069	65.59	32.2
30	2005-07-06	3647.957874	64.88	7.94
30	2005-07-11	2164.323917	37.54	16.56
30	2005-07-15	1275.647905	42.73	6.73
30	2005-07-20	570.072683	12.33	3.82
30	2005-07-25	81.78411973	120.34	2.92
30	2005-07-29	81.49388649	121.58	12.9
30	2005-08-03	160.1370616	78.35	15.37
30	2005-08-08	47.46997615	89.53	6.38
30	2005-08-12	16.39474919	67.9	4.53
30	2005-08-17	13.40603259	60.31	12.3
30	2005-08-22	121.777828	56.5	5.87
30	2005-08-26	2.020965588	54.94	2.26
30	2005-08-31	0.056756122	56.65	1.41
30	2005-09-05	0.028378061	58.36	1.24
30	2005-09-09	0.028378061	72.61	4.1
30	2005-09-14	0.028378061	97.13	5.71
30	2005-09-19	0.028378061	97.13	13.32
38	2005-05-25	13.9635855	57.86	4.35
38	2005-05-30	125.3633372	32.21	0.005
38	2005-06-03	874.9065061	17.88	0.69
38	2005-06-08	1841.229624	2.27	0.79
38	2005-06-13	434.5058872	1.88	0.19
38	2005-06-17	518.4685976	2.43	0.03
38	2005-06-22	1110.28982	1.79	0.24
38	2005-06-27	1113.550325	1.79	0.24
38	2005-07-01	862.843667	1.91	0.36
38	2005-07-06	952.3840176	2.15	0.43
38	2005-07-11	726.3013424	1.9	0.29
38	2005-07-15	632.7883328	4.29	0.25
38	2005-07-20	887.3802173	20.64	3.93
38	2005-07-25	1502.578019	16.44	0.005
38	2005-07-29	288.2578765	65.95	3.96
38	2005-08-03	230.6563412	100.57	2.94
38	2005-08-08	180.8221006	5.06	0.005
38	2005-08-12	158.2718797	8.96	0.45
38	2005-08-17	142.3195917	9.29	2.33
38	2005-08-22	96.85991412	17.39	1.83
38	2005-08-26	63.00851034	18.48	3.14
38	2005-08-31	32.45541427	29.23	5.43
38	2005-09-05	18.17288811	29.1	2.19
38	2005-09-09	27.06068573	40.57	3.47
38	2005-09-14	59.85953368	51.37	2.47
38	2005-09-19	22.10130704	40.38	3.91
39	2005-05-25	31.28802872	45.34	4.37
39	2005-05-30	255.5409364	103.22	19.58
