TANK	DATES	Cer_ug	Sca_ug	e_chl	i_chl
6	2005/05/25	0.045	15.26252369	63.67	0.6
6	2005/05/30	0.045	79.11592324	139.89	7.97
6	2005/06/03	0.045	211.279328	99.71	15.87
6	2005/06/08	0.045	359.4848336	9.45	0.11
6	2005/06/13	0.045	530.224885	26.31	1.73
6	2005/06/17	0.045	6080.404477	3.25	0.19
6	2005/06/22	0.045	487.1934741	1.19	0.37
6	2005/06/27	0.045	2289.288502	1.19	0.37
6	2005/07/01	1.642534702	244.5875364	1.36	0.01
6	2005/07/06	12.21604811	372.0304367	1.48	0.25
6	2005/07/11	31.36138762	397.3539375	1.64	0.39
6	2005/07/15	82.22240752	372.3812437	5.78	2.99
6	2005/07/20	155.7821764	111.0534211	1.56	0.33
6	2005/07/25	142.5209027	21.64080544	4.9	0.005
6	2005/07/29	158.0376242	37.73241615	5.25	2.32
6	2005/08/03	322.5302754	122.479442	4.05	0.73
6	2005/08/08	182.4121645	134.9399784	2.98	0.39
6	2005/08/12	217.7242307	97.00634822	5.35	0.47
6	2005/08/17	88.87159038	72.33811044	9.67	1.39
6	2005/08/22	64.33410209	69.86888976	27.61	12.54
6	2005/08/26	57.02173999	107.3217397	45.34	3.43
6	2005/08/31	95.13284272	73.54934688	68.85	3.12
6	2005/09/05	37.90517841	39.41640069	182.62	9.48
6	2005/09/09	16.84793975	45.86078812	215.79	15.25
6	2005/09/14	14.31411056	62.65572711	382.77	22.51
6	2005/09/19	10.16287973	10.99067108	358.63	21.41
9	2005/05/25	0.045	29.87557829	98.66	0.005
9	2005/05/30	0.045	66.86726791	98.38	3.52
9	2005/06/03	0.045	322.5404157	97.43	4.18
9	2005/06/08	0.045	2472.898105	9.5	0.89
9	2005/06/13	0.045	236.7227936	1.16	0.07
9	2005/06/17	3.509539777	50.65569233	17.02	1.46
9	2005/06/22	40.6251709	367.3661644	18.73	0.005
9	2005/06/27	515.54921	1056.092589	18.73	0.005
9	2005/07/01	166.937395	173.8939012	3.33	0.63
9	2005/07/06	84.89456381	228.4661628	4.56	0.71
9	2005/07/11	157.5779393	396.0950325	162.44	68.79
9	2005/07/15	415.6520922	242.3378321	2.93	1.32
9	2005/07/20	413.5498727	67.77444515	36.65	20.1
9	2005/07/25	193.4023864	252.2610659	2.36	0.005
9	2005/07/29	260.7463092	79.20046608	4.17	1.09
9	2005/08/03	356.3100588	143.7217719	7.96	1.12
9	2005/08/08	160.3984641	84.14338385	11.44	1.6
9	2005/08/12	105.7829703	14.93199526	15.46	1.25
9	2005/08/17	125.4885269	45.32483127	39.3	1.27
9	2005/08/22	78.46326431	7.929396172	56.1	3.27
9	2005/08/26	107.9403158	10.9245654	45.02	2.42
9	2005/08/31	84.60959543	17.56147601	50.67	0.31
9	2005/09/05	59.62924119	22.60565951	56.6	3.52
9	2005/09/09	46.89959725	27.2309541	44.23	2.55
9	2005/09/14	128.3175563	20.85267235	58.96	13.47
9	2005/09/19	209.5200619	6.23316513	8.76	47.99
23	2005/05/25	0.045	5.520487292	213.7	6.13
23	2005/05/30	0.045	7.159962211	257.97	12.92
23	2005/06/03	0.045	81.90566405	286.66	10.76
23	2005/06/08	0.410633676	173.1858346	59.96	0.9
23	2005/06/13	0.045	205.3870964	53.58	0.005
23	2005/06/17	0.045	269.0982763	32.3	0.92
23	2005/06/22	4.362527193	953.8104211	35.18	0.27
23	2005/06/27	61.00119648	2262.916771	35.18	0.27
23	2005/07/01	29.22015826	45.09135416	26.45	3
23	2005/07/06	608.345131	72.41290695	1.18	0.1
23	2005/07/11	0.045	0.0284	1.1	0.29
23	2005/07/15	154.2401739	41.61764295	1.81	0.5
23	2005/07/20	94.82395624	30.06520452	1.94	0.18
23	2005/07/25	354.2341873	10.22768975	2	0.56
23	2005/07/29	180.1088805	24.4154028	2.58	0.9
23	2005/08/03	152.1809307	38.18646513	9.95	5.66
23	2005/08/08	95.3099891	24.4154028	26.79	1.32
23	2005/08/12	227.2729824	22.72562438	41.36	329.46
