TANK	DATES	Cer_ug	Sca_ug	Clad_ug	e_chl	i_chl
37	2005-05-25	0.0224	0.649469093	0.0339	60.51	24.26
37	2005-05-30	0.0224	0.706225215	0.0339	59.91	8.89
37	2005-06-03	0.45552775	0.170268366	0.203339726	53.99	3.97
37	2005-06-08	0.0224	7.273474456	0.0339	27.18	4.34
37	2005-06-13	0.0224	7.995501857	0.067779909	12.17	2.21
37	2005-06-17	0.134682224	11.29960345	2.635668673	7.61	1.49
37	2005-06-22	0.0224	0.0284	0.0339	2.99	0.52
37	2005-06-27	0.0224	0.0284	0.0339	2.99	0.52
37	2005-07-01	428.1843166	0.0284	5.151273056	4.62	0.99
37	2005-07-06	183.1401894	1.298938186	11.92926392	16.56	1.17
37	2005-07-11	225.0750904	0.0284	10.84478538	40.74	27.06
37	2005-07-15	198.128926	1.752987163	14.36934063	23.55	0.005
37	2005-07-20	524.7347114	0.0284	13.04591746	3.12	0.06
37	2005-07-25	388.3370556	0.0284	18.56483516	12.53	1.43
37	2005-07-29	594.8651401	0.0284	68.99545509	6.82	2.51
37	2005-08-03	809.8174444	0.0284	67.00464448	14.15	2.24
37	2005-08-08	1011.169024	0.0284	128.3640391	17.94	3.4
37	2005-08-12	519.6344397	5.195752746	262.6903423	40.25	34.83
37	2005-08-17	1621.57902	0.0284	464.9669008	63.58	6.93
37	2005-08-22	571.1902277	0.0284	235.5932824	102.75	4.93
37	2005-08-26	636.0581989	0.0284	3078.676455	114.99	8.87
37	2005-08-31	486.6977929	0.0284	61.22595885	115.09	8.66
37	2005-09-05	319.9829505	0.0284	105.6252289	131.93	4.84
37	2005-09-09	80.48420041	0.0284	82.88572251	154.6	5.62
37	2005-09-14	0.0224	0.0284	241.8529214	177.68	5.52
37	2005-09-19	4.927604107	0.0284	43.10802189	92.57	10.56
50	2005-05-25	0.0224	0.056756122	0.0339	182.36	8.37
50	2005-05-30	0.0224	0.0284	0.171460709	181.53	3.72
50	2005-06-03	0.0224	0.649469093	0.153510263	146.89	2.76
50	2005-06-08	0.821267351	3.603684385	0.0339	52.28	2.1
50	2005-06-13	0.0224	1.355694309	1.477229419	19.39	8.05
50	2005-06-17	0.45552775	0.324734547	14.9468018	65.38	24.25
50	2005-06-22	0.0224	0.0284	0.0339	52.23	16.47
50	2005-06-27	0.0224	0.0284	0.0339	52.23	16.47
50	2005-07-01	9.855208214	0.0284	43.86176658	36.88	10.59
50	2005-07-06	3.285069405	0.0284	131.8081569	34.85	4.22
50	2005-07-11	32.85069405	5.195752746	41.08622023	6.37	0.36
50	2005-07-15	34.85238134	0.0284	32.8164794	36.65	3.2
50	2005-07-20	4.927604107	0.0284	15.04027991	31.59	3.69
50	2005-07-25	1.642534702	0.0284	20.95783332	69.45	7.74
50	2005-07-29	0.0224	0.0284	53.75077344	46.59	10.76
50	2005-08-03	0.0224	0.0284	71.31038363	74.08	25.52
50	2005-08-08	0.0224	0.0284	51.36641101	16.24	0.4
50	2005-08-12	3.285069405	0.0284	75.8413478	18.3	3.07
50	2005-08-17	0.0224	0.0284	365.952868	96.96	13.68
50	2005-08-22	9.855208214	0.0284	76.74259599	77.7	5.47
50	2005-08-26	0.0224	0.0284	30.37640269	64.03	8.94
50	2005-08-31	2.181263597	0.0284	25.23258141	59.11	11.46
50	2005-09-05	4.921017102	0.0284	42.31087243	79.04	26.39
50	2005-09-09	2.598484277	0.0284	17.81396332	68.6	43.38
50	2005-09-14	8.847777559	0.0284	116.4537006	108.64	23.18
50	2005-09-19	19.71041643	0.0284	79.61348341	109.29	21.03
53	2005-05-25	0.0224	0.649469093	0.0339	21.15	4.71
53	2005-05-30	0.0224	2.500166315	0.289070081	46.62	14.5
53	2005-06-03	0.0224	0.056756122	0.0339	94.77	13.87
53	2005-06-08	0.0224	0.762981337	0.0339	28.15	57.48
53	2005-06-13	0.0224	0.551759035	0.406679452	63.07	0.16
53	2005-06-17	0.044894075	0.324734547	0.753622746	50.92	3.41
53	2005-06-22	0.0224	0.0284	0.0339	18.61	1.53
53	2005-06-27	0.0224	0.0284	0.0339	18.61	1.53
53	2005-07-01	3.285069405	0.0284	404.3043526	1.88	3.23
53	2005-07-06	133.5576918	0.0284	340.6237615	9.91	0.005
53	2005-07-11	539.7234481	0.0284	186.086266	8.53	0.65
53	2005-07-15	1244.418672	0.0284	92.12106153	25.97	0.84
53	2005-07-20	849.5974299	0.0284	53.71386264	56.39	1.37
53	2005-07-25	16.01349839	0.0284	53.13944837	81.45	10.54
53	2005-07-29	834.0720132	0.908097954	317.994012	116.81	10.35
53	2005-08-03	277.0232878	0.0284	218.2548577	128.88	3.32
53	2005-08-08	158.2962445	0.0284	250.7932534	172.63	15.77
53	2005-08-12	41.96124905	0.0284	28.70142238	186.9	8.41
53	2005-08-17	469.7552052	0.0284	152.6015633	210.97	16.59
53	2005-08-22	1029.212607	1.816195908	1095.229725	196.82	13.01
53	2005-08-26	276.453351	0.0284	91.58119016	181.79	0.005
53	2005-08-31	160.963541	0.0284	150.9870331	155	6.19
53	2005-09-05	62.15769833	0.0284	42.0247273	165.48	4.8
53	2005-09-09	113.2821984	0.0284	73.15013889	169.02	10.86
53	2005-09-14	144.2844334	0.0284	122.4986482	187.11	23.86
53	2005-09-19	135.3798028	0.0284	205.9328778	190.08	14.25
1	2005-05-25	0.0224	0.0284	0.074890042	93.05	21.68
1	2005-05-30	0.0224	2.922610919	0.067779909	285.35	13.18
1	2005-06-03	0.410633676	4.934226944	0.142669951	222.36	13.28
1	2005-06-08	1.687428777	1.087715884	0.311865448	53.03	14.67
1	2005-06-13	0.0224	1.144472006	0.0339	231.23	35.28
1	2005-06-17	0.0224	0.0284	0.0339	156.38	35.72
1	2005-06-22	0.0224	0.0284	0.0339	47.93	5.85
1	2005-06-27	0.0224	0.0284	0.0339	47.93	5.85
1	2005-07-01	3.740597155	0.324734547	0.067779909	7.15	1.42
1	2005-07-06	0.821267351	0.324734547	0.230822766	3.04	1.91
1	2005-07-11	0.0224	0.0284	0.0339	40.64	25.74
1	2005-07-15	0.0224	0.0284	0.0339	3.66	13.82
1	2005-07-20	0.410633676	0.0284	0.903875653	10.35	0.59
1	2005-07-25	0.0224	0.0284	0.0339	118.22	27.3
1	2005-07-29	0.0224	0.0284	0.705222521	29.9	16.65
1	2005-08-03	1.276795101	0.0284	0.0339	23.96	1.25
1	2005-08-08	0.0224	0.0284	0.135559817	117.11	21.07
1	2005-08-12	0.0224	0.649469093	0.0339	73.72	7.78
1	2005-08-17	0.0224	0.0284	0.074890042	78.8	11.6
1	2005-08-22	0.0224	0.0284	0.142669951	162.85	4.39
1	2005-08-26	0.0224	0.056756122	0.0339	142.27	3.91
1	2005-08-31	0.0224	1.793941099	0.56356967	81.45	33.84
1	2005-09-05	0.0224	0.0284	0.142669951	134.67	1.71
1	2005-09-09	0.0224	0.324734547	0.163042858	194.75	19.38
1	2005-09-14	0.0224	0.0284	1.640470799	209.83	12.91
1	2005-09-19	0.0224	0.0284	0.455492893	364.1	3.34
68	2005-05-25	0.0224	0.0284	0.0339	25.75	8.78
68	2005-05-30	0.0224	2.979367042	0.58927217	67.09	1.31
68	2005-06-03	0.0224	3.742348379	0.257191064	30.22	0.91
68	2005-06-08	2.82295465	0.0284	0.338899543	17.64	1.24
68	2005-06-13	7.288444002	0.495002913	51.24130461	16.09	4.16
68	2005-06-17	9.057858964	8.31088684	195.6933557	2.39	0.19
68	2005-06-22	0.0224	0.0284	0.0339	1.55	0.29
68	2005-06-27	0.0224	0.0284	0.0339	1.55	0.29
68	2005-07-01	219.6614534	72.18588246	17.72605138	3.17	1.42
68	2005-07-06	224.8213299	87.54611621	26.17108848	2.61	0.52
68	2005-07-11	773.0160718	193.6566195	219.0646647	2.24	0.09
68	2005-07-15	635.1291096	71.17717751	199.544051	2.98	0.5
68	2005-07-20	2533.372265	62.34903295	141.4372585	3.9	0.45
68	2005-07-25	1606.158996	48.8308056	56.39288399	10.85	0.39
68	2005-07-29	1254.857634	63.50996588	31.56363975	8.53	1.41
68	2005-08-03	818.5951948	78.06270867	24.57141032	7.47	2.47
68	2005-08-08	408.6174088	47.79629015	20.71885437	11.55	4.59
68	2005-08-12	163.2238486	23.21707161	12.56824141	48.62	3301.85
68	2005-08-17	217.6861142	67.01594021	37.31422404	43.02	2309.27
68	2005-08-22	91.36417037	105.1908176	11.1842027	40.54	0.65
68	2005-08-26	30.61673441	59.94078281	21.67067774	37.61	5.35
68	2005-08-31	19.65772039	121.723572	14.21011403	41.98	58.19
68	2005-09-05	239.8003469	72.08527546	32.15528368	50.44	807.53
68	2005-09-09	328.6553089	27.59374564	33.5544772	63.87	452.96
68	2005-09-14	410.0013231	114.6858129	23.99886141	67.05	962.48
