TANK,Sca_ug,Dapp_ug,e_chl,i_chl
5,661.9659799,174.7115526,14.96,0.005
5,685.5507162,94.51927993,0.41,1.83
5,481.8765738,320.7690905,2.37,0.59
5,314.1239215,766.0177268,2.15,0.14
5,225.233564,729.0430727,2.15,0.14
5,63.90080611,452.471289,2.93,0.08
5,79.09722412,1655.208748,3.49,0.29
5,110.1221476,465.402079,2.07,0.23
5,73.95309235,598.6187932,2.36,0.1
5,24.64242729,265.2171432,1.75,0.13
5,40.96106249,163.1936308,1.67,0.13
5,512.0529431,88.93273872,2.16,0.005
5,25.09647626,216.561286,1.67,0.02
5,24.64242729,343.0618424,1.84,0.28
5,30.91009373,154.5297776,1.69,0.36
5,18.45666872,9.184514364,1.99,0.26
5,42.57538566,346.3607721,1.81,0.16
5,29.67726123,383.3212601,1.6,0.53
5,27.16129273,210.4603538,28.75,356.65
5,6.088048514,41.26284003,3.02,454.19
5,7.371184514,78.49074167,37.21,1271.95
5,1.980011652,115.6665772,16.05,201.72
5,4.659795897,129.0718029,14.06,9985.39
7,504.0554471,836.6397731,2.55,0.005
7,81.69510049,635.7733796,2.19,0.005
7,39.42219457,151.8839735,2.41,0.5
7,135.8249008,1471.281864,2.35,0.08
7,190.5730898,763.6251702,2.35,0.08
7,38.71662809,250.8759699,2.39,0.11
7,121.9879948,1186.834302,3.61,0.33
7,107.3462327,700.1524614,2.12,0.13
7,63.50996588,573.7702034,2.37,0.32
7,48.37675662,439.3039024,2.62,0.09
7,3.05192535,310.4557725,2.1,0.43
7,43.63505285,261.1751218,1.88,0.46
7,76.37293025,517.8916933,1.94,0.06
7,36.6231042,327.9634112,2.17,0.61
7,25.42410775,403.07234,2.23,1.36
7,38.31288262,418.2607374,2.95,0.65
7,49.31290327,342.3554083,2.64,0.45
7,17.09452178,702.3367535,2.54,0.59
7,23.33058386,406.3121206,3.21,0.9
7,39.33449282,914.0087941,4.24,0.66
7,40.22968552,528.9930861,2.84,0.49
7,40.02136016,1456.256748,3.98,0.1
7,53.01074203,270.7382651,4.02,0.005
10,66.58480478,259.9067707,2.37,0.005
10,41.2829001,484.8690945,2.16,0.01
10,25.09937321,107.4629936,2.25,0.28
10,124.3588466,146.2516364,1.53,0.02
10,102.4652062,352.5137704,1.53,0.02
10,43.54669236,228.2129146,1.84,0.11
10,53.67311637,346.5998535,2.16,0.07
10,31.91879868,129.7711539,1.68,0.25
10,57.07848369,281.6551274,1.57,0.12
10,22.59920689,271.7866705,1.68,0.005
10,21.47053707,235.2568775,1.72,0.005
10,10.45471424,404.2319607,1.44,0.11
10,11.1357877,243.7432832,1.68,0.04
10,8.506306956,111.9511186,1.95,0.16
10,13.2796151,205.5640254,1.63,0.44
10,13.50663959,227.7076619,1.85,1.65
10,30.91009373,260.4840962,1.9,0.43
10,30.24771939,486.1624219,1.93,0.59
10,16.24317995,366.1639181,1.91,0.76
10,17.86685269,252.7857653,2.02,0.32
10,16.60886844,203.9512181,1.77,0.13
10,14.70786771,168.3432068,2.97,0.53
10,19.49052542,455.5998543,2.04,0.96
49,264.5024826,213.0873936,1.98,0.005
49,5.917780147,203.2081264,1.54,0.18
49,11.01582283,78.81022141,1.95,0.89
49,26.55923019,459.0408163,1.31,0.51
49,56.56122597,456.2767138,1.31,0.51
49,104.5471424,376.8275329,2.14,0.06
49,89.84217159,688.4712583,2.06,0.31
49,43.60924236,349.2148407,1.62,0.21
49,91.3565465,347.5203927,2.02,0.14
49,79.55127309,654.6772355,2.35,0.68
49,42.47411992,461.7765865,2.69,0.24
49,10.22768975,435.7375591,2.55,0.62
49,27.46732815,960.1112982,2.18,0.22
49,15.03260226,266.0502011,3.23,0.005
49,18.08452761,589.2568313,3.35,0.13
49,39.09456308,604.0903337,3.13,0.36
49,50.60828577,214.3390938,3.36,0.37
49,51.08458956,123.2607759,4,0.98
49,16.08871377,77.37610408,3.12,0.57
49,4.33506135,93.35965927,3.79,0.47
49,0.324734547,31.99668497,15.03,86.67
49,0.16,37.04212871,30.14,8.41
49,0.16,0.9,62.12,5.62
54,1206.344863,221.1381347,6,0.83
54,2090.736363,326.2406311,1.01,0.38
54,466.1397225,55.2253845,1.94,0.17
54,325.5499424,91.96344196,1,0.51
54,97.6616112,260.848559,1,0.51
54,45.19841378,594.3401751,1.79,0.29
54,77.18042121,773.8368408,2.29,0.58
54,91.30492552,571.2143654,1.72,0.17
54,86.03437626,611.1613864,2.61,0.33
54,63.96401486,1430.501785,2.91,0.32
54,89.36231212,784.5050538,2.73,0.26
54,118.4446222,1171.555939,3.63,0.99
54,54.69413923,196.0603055,3.53,0.005
54,287.2834109,34.83534506,5.6,0.44
54,130.5259061,741.3490693,4.21,0.83
54,175.5979024,581.6176496,4.15,0.65
54,133.4385087,668.8834597,3.84,0.85
54,119.8183569,713.0524344,4.39,0.85
54,86.09626753,630.1102254,4.03,1.01
54,86.10851403,516.6729234,3.76,0.44
54,56.60507685,377.8297128,3.9,0.33
54,77.7292833,646.6215249,5.27,0.02
54,70.05496031,619.4253615,5.78,3.18
61,551.3228918,538.1351022,3.58,0.16
61,405.428847,450.2469835,2.27,0.06
61,158.5737007,374.1817288,2.67,0.29
61,166.6949613,1320.884074,2,0.1
61,122.4046455,579.2984082,2,0.1
61,45.70408374,709.3061588,2.56,0.38
61,65.3003513,416.8928523,4.37,0.27
61,43.38221787,376.8275329,3.4,2.22
61,46.43414322,192.7540185,2.42,0.02
61,56.9520662,254.6672286,3.43,0.2
61,19.44667454,853.7025507,2.36,0.28
61,26.78625468,335.8391896,2.76,0.36
61,16.49535619,569.2549886,2.21,0.005
61,5.485985979,395.5231244,2.66,0.22
61,13.96068856,239.9236923,2.45,0.15
61,27.24030366,786.0812034,3.01,0.05
61,35.37736645,221.6433873,2.49,0.54
61,40.05296454,497.6424437,2.31,0.45
61,79.63607791,548.6246253,3.02,1.12
61,81.61608956,425.7578869,3.04,0.82
61,59.21230278,173.9234778,2.41,1.06
61,73.95467181,718.3652918,3.76,0.63
61,37.57794997,734.4671453,3.43,1.17
83,933.6157815,205.831439,3.4,0.5
83,208.473785,562.2972646,4.91,0.15
83,77.77247544,369.0392359,4.27,0.37
83,101.2307943,622.8425896,3.22,0.17
83,42.00848318,173.5519319,3.22,0.17
83,60.77408425,388.2105055,3.05,0.2
83,62.92949941,614.3136856,3.65,0.06
83,37.95944064,304.6010048,2.01,0.13
83,14.3515288,125.3126036,1.36,0.74
83,18.70239233,198.6087862,2.21,0.05
83,8.701727073,846.6881623,1.51,0.29
83,15.84009322,397.8423658,1.7,0.3
83,14.2509218,615.799869,1.74,0.005
83,22.04455091,268.9326019,1.47,0.25
83,4.495980153,109.8259756,2.3,0.02
83,51.00044348,679.1376286,2.53,0.14
83,82.40777833,545.6451754,1.98,0.33
83,63.50996588,431.9996089,2.95,0.22
83,82.01404115,368.8238884,2.42,0.57
83,108.4497508,584.381752,2.5,0.3
83,133.3321078,492.018432,2.96,0.8
83,28.12904375,1219.426206,4.81,1.68
83,23.83493633,1288.204689,4.35,3.05
92,2492.357954,43.7524458,1.88,0.29
92,198.1828865,95.38066998,1.69,0.03
92,99.17335114,76.68507846,1.49,0.66
92,131.3592075,179.0518046,1.31,0.25
92,54.49351257,150.3836239,1.31,0.25
92,71.0520775,357.0314699,2.01,0.25
92,61.56735248,270.5987176,3.48,0.35
92,72.66574193,160.5644776,1.8,0.1
92,36.85012869,108.2214938,1.71,0.08
92,61.56735248,496.0154704,1.86,0.2
92,41.23839048,350.0762307,1.33,0.2
92,56.49801723,76.89334293,1.63,11.36
92,16.96520735,0.9,1.68,0.005
92,43.72275461,0.9,11.91,34.19
92,95.70898949,0.9,13.33,0.49
92,296.2147974,0.9,55.49,147.21
92,709.15112,11.62913706,50.63,8.33
92,96.23559678,19.83272065,99.23,216.94
92,72.96822167,130.3651304,18.55,8340.86
