TANK,Cer_ug,Sca_ug,Dapp_ug,clad_ug,e_chl,i_chl
18,0.022447037,310.779128,105.9330695,0.033889954,3.77,0.005
18,0.022447037,9.546616282,362.9786885,0.033889954,1.79,0.005
18,0.022447037,10.84555447,421.2331043,0.033889954,1.45,1.04
18,0.022447037,0.028378061,0.902831601,0.033889954,1.22,0.03
18,0.022447037,68.56771337,277.8497026,0.271119635,1.22,0.03
18,0.022447037,194.6279262,625.4883937,0.033889954,1.92,0.06
18,7.288444002,264.833797,1060.868573,0.033889954,2.19,0.22
18,0.9110555,123.8660819,201.8035836,0.033889954,1.83,0.3
18,20.69808607,101.7841328,249.7613323,0.033889954,2.1,0.18
18,85.612869,50.16714204,133.7232092,0.033889954,1.5,0.8
18,199.0170878,10.22768975,149.119871,0.271119635,1.79,0.54
18,304.4672535,14.93199526,159.3148908,1.084478538,2.53,0.83
18,805.2968291,61.11330351,107.0618732,0.542239269,2.29,0.07
18,299.9036619,13.44343084,231.9579478,0.033889954,2.51,0.92
18,453.4352502,32.08261443,297.1700875,0.542239269,2.72,1.04
18,159.3737023,7.793629118,366.0077198,0.033889954,2.52,3
18,10.31073596,2.118675646,250.9505275,0.033889954,2.87,0.47
18,0.022447037,0.324734547,299.5472356,0.033889954,2.31,0.75
18,0.022447037,0.324734547,150.4723477,0.067779909,2.65,1.02
18,0.022447037,0.028378061,214.7922804,0.033889954,2.46,0.7
18,0.022447037,0.028378061,307.1343513,0.033889954,2.17,0.58
18,1.456371399,0.056756122,345.2911176,0.067779909,1.47,0.35
18,0.022447037,2.329897948,417.7850593,0.067779909,2.75,1.27
48,1.642534702,1176.071078,50.44027135,0.033889954,6.22,0.005
48,0.022447037,249.9070717,117.8816863,3.253435615,3.18,0.51
48,0.022447037,180.1900131,55.2253845,1.626717807,4,0.22
48,0.022447037,0.028378061,0.902831601,0.033889954,3.38,0.69
48,0.022447037,0.028378061,0.902831601,0.033889954,3.38,0.69
48,0.022447037,306.552047,54.27402831,0.271119635,5.82,0.005
48,35.00560962,366.834684,440.1369603,7.049110498,4.04,0.33
48,174.415135,333.0338457,640.2319299,9.760306844,3.01,0.005
48,201.2559073,259.7644618,305.2541304,3.253435615,3.35,0.25
48,717.8784775,62.60186793,237.0696237,36.8722703,3.52,0.32
48,438.2357294,54.68182132,188.205502,10.84478538,2.92,0.01
48,182.2637961,16.94940517,0.902831601,4.880153422,101.32,5384.93
48,108.7664429,73.19458742,0.902831601,139.3554922,45.15,0.005
48,41.36982411,39.74403217,0.902831601,5.693512325,2.3,0.005
48,261.6462395,6.1038507,0.902831601,5.422392691,6.18,0.01
