TANK,Sca_ug,Dapp_ug,Clad_ug,e_chl,i_chl
12,640.7326028,91.10205191,0.0339,3.62,0.005
12,3.587882199,141.9197098,0.203339726,1.91,0.59
12,12.96133317,131.8654799,0.067779909,1.99,0.85
12,0.028378061,0.903,0.0339,1.44,0.005
12,35.73370537,206.7827952,0.0339,1.44,0.005
12,90.82506605,199.3068948,0.0339,1.68,0.37
12,51.95752746,487.5148986,0.0339,1.98,0.11
12,82.31296521,388.8352989,0.0339,1.46,0.25
12,47.56926567,244.6638224,0.0339,1.99,0.005
12,37.94074151,145.1369988,0.0339,2.57,0.005
12,27.24030366,124.1529829,0.0339,2.03,0.2
12,41.91946394,171.2043584,0.271119635,2.45,0.04
12,68.25166965,587.829797,0.135559817,3.01,0.23
12,40.22968552,351.5624142,0.29956017,2.97,0.29
12,15.196418,489.7441738,0.0339,3.18,1.99
12,34.80690829,619.7519243,0.271119635,3.55,0.87
12,45.6050562,371.1868704,1.287818264,3.11,0.36
12,22.71271913,718.4765071,1.49115799,2.78,0.43
12,20.6666018,419.6652801,2.439609435,2.43,0.49
12,29.37478149,339.0564786,0.542239269,2.4,0.82
12,24.48150848,420.8982161,1.084478538,2.3,0.19
12,15.48019862,650.983026,0.203339726,2.33,0.6
12,28.44442873,553.0831757,1.558937899,2.13,0.58
29,826.257961,419.0654631,0.0339,2.99,0.005
29,81.86471012,80.4005371,0.0339,2.34,0.24
29,74.35552035,1083.397921,0.0339,2.52,0.54
29,142.9000582,137.6469323,0.0339,2.08,0.07
29,212.7756626,134.1397382,0.0339,2.08,0.07
29,64.19103935,395.9679855,0.0339,2.24,0.12
29,105.4294298,928.4232828,0.0339,2.67,0.31
29,48.95722309,1188.973611,0.0339,1.65,0.1
29,14.3515288,725.2376479,0.0339,1.99,0.09
29,0.324734547,0.903,0.0339,4.67,0.68
29,0.113512244,0.903,0.067779909,10.79,0.74
29,0.028378061,0.903,0.0339,12.49,1.34
29,0.028378061,0.903,0.0339,19.36,1.07
29,0.056756122,0.903,0.0339,29.04,1.96
29,0.113512244,0.903,0.067779909,24.54,0.005
29,0.028378061,3.611326405,2.033397259,27.07,3.22
29,0.028378061,0.903,0.0339,24.43,1.08
29,0.028378061,0.903,0.0339,19.06,1.74
29,0.028378061,0.903,0.0339,28.88,1.86
29,0.028378061,0.903,0.0339,48.11,0.55
29,0.028378061,0.903,0.0339,66.72,4.66
29,0.028378061,0.903,0.0339,56.08,1.04
29,0.028378061,3.611326405,0.067779909,58.46,2.56
42,1125.967145,0.903,0.0339,3.22,0.005
42,197.1496886,0.903,0.0339,1.39,0.1
42,414.5535427,7.22265281,0.271119635,3.72,0.43
42,373.7699947,3.611326405,0.0339,1.72,0.27
42,659.899584,0.903,0.542239269,1.72,0.27
42,901.8297182,28.89061124,0.0339,2.21,0.005
42,825.6063809,62.23977284,1.626717807,2.94,0.99
42,763.1878214,261.6816169,1.084478538,1.48,0.11
42,342.0400287,197.1226027,0.0339,1.7,0.59
42,349.1267739,495.5989414,3.795674884,2.4,0.4
42,227.1519819,544.5650928,0.0339,2.02,0.08
42,81.32941201,239.9378584,1.897837442,2.12,0.19
42,70.20587081,293.0381,4.609033787,1.5,0.005
42,166.6575631,84.650823,1.084478538,1.43,0.09
42,23.0316598,57.90784625,9.760306844,2.13,0.06
42,20.00133052,90.80382129,2.98231598,1.3,0.16
42,15.65981655,18.66601694,2.575636528,1.47,0.18
42,3.108681472,4.540191065,1.355598173,1.5,0.27
42,9.165125613,17.2318996,6.100191777,5.43,4180.27
42,18.79364977,43.62582202,14.03044109,7.54,59.01
42,12.52598332,26.1265088,13.01374246,4.2,1221.7
