TANK,Sca_ug,Clad_ug,e_chl,i_chl
71,1599.134087,0.0339,15.32,1.05
71,1644.339866,0.0339,1.02,0.06
71,1794.464675,0.0339,2.19,0.005
71,1002.876156,0.0339,1.68,0.005
71,356.6728379,0.0339,1.68,0.005
71,2232.378564,0.0339,2.23,0.005
71,1232.977841,0.0339,2.27,0.59
71,719.2893937,0.0339,1.85,0.1
71,1031.493877,13.58298316,2.18,1.18
71,1118.671281,15.6547374,9.76,0.57
71,2542.720501,2.168957076,3.87,0.99
71,886.789211,5.658411624,29.86,0.75
71,176.6555933,10.72947664,80.71,12.82
71,15.70077048,5.635857953,126.9,12.83
71,22.52441038,6.761115694,144.19,4.18
71,38.35739223,15.10971869,125.57,0.005
71,23.68692277,8.114887387,103.04,6.84
71,16.08871377,14.34635092,87.825,11.5
71,75.88148302,9.744980373,72.61,16.16
71,42.94107414,18.94772148,86.02,98.12
71,39.30288844,20.37447474,62.52,3.07
71,10.32539981,2.546809342,72.8,2.95
71,2.613678559,5.093618684,74.8,7.02
100,1311.200683,0.0339,1.38,0.04
100,1057.714936,1.084478538,1.56,0.005
100,944.9485612,27.53889398,1.81,0.005
100,619.2648355,9.760306844,1.25,0.13
100,599.5911365,34.4456943,1.25,0.13
100,1051.828109,0.0339,3.39,2.36
100,1651.465597,76.48273837,3.64,1.19
100,2264.564421,134.4753387,2.25,0.2
100,1170.778401,94.34963282,2.46,2.1
100,710.874217,145.3201241,3.03,0.99
100,1086.578127,130.1374246,6.74,1.99
100,252.2236676,199.544051,32.86,1.09
100,319.0099484,155.080431,57.86,1.15
100,131.4829901,49.88601276,163.69,13.33
100,22.3721824,66.15319083,152.15,13.71
100,13.44343084,35.78779176,133.26,2.77
100,1.298938186,129.8663049,189.21,7.16
100,0.0284,385.5321203,138.97,45.59
100,0.0284,481.508471,102.75,22.43
100,41.56602196,2832.657942,166,29.03
100,133.5262105,528.1410481,141.54,8.11
100,112.1213187,1033.643607,121.65,4.96
100,90.39682756,1140.871422,192.54,3.55
