TANK,Dapp_ug,Clad_ug,e_chl,i_chl
36,321.8920536,0.0339,11.69,1
36,943.6045971,0.135559817,1.53,0.18
36,406.9581631,0.0339,1.79,0.5
36,289.0327362,0.0339,1.02,0.03
36,140.5447416,0.135559817,1.02,0.03
36,187.2931914,0.0339,2.75,0.005
36,0.903,1.084478538,3.41,0.1
36,0.903,0.0339,2.38,0.2
36,59.26740593,1.626717807,2.2,0.2
36,285.3989182,8.433149206,1.8,0.33
36,151.4082954,2.846756163,1.68,7.43
36,59.33202261,0.0339,1.7,0.02
36,95.95339727,5.4901726,1.67,0.41
36,184.5941756,3.117875797,1.64,0.09
36,74.4262287,2.711196345,3.66,0.07
36,37.54029834,9.645610152,2.01,0.5
36,29.36628934,2.575636528,2.27,0.34
36,70.54748867,3.795674884,3.29,77.7
36,41.12913321,3.050095889,150.63,9848.82
36,95.21738859,8.072919262,36.91,2942.35
36,47.15550773,6.032411869,7.58,1914.46
36,551.0775735,6.642431046,19.79,6669.65
36,367.2264896,8.133589036,24.63,328.31
