TANK,FLUCT,FLUCT,Dapp_ug,Clad_ug,e_chl,i_chl
36,2.937267417,152.9372674,321.8920536,0.0339,11.69,1
36,-35.84602408,114.1539759,943.6045971,0.135559817,1.53,0.18
36,52.53458085,202.5345809,406.9581631,0.0339,1.79,0.5
36,-0.252305966,149.747694,289.0327362,0.0339,1.02,0.03
36,-38.13503467,111.8649653,140.5447416,0.135559817,1.02,0.03
36,50.77916519,200.7791652,187.2931914,0.0339,2.75,0.005
36,-1.512087303,148.4879127,0.903,1.084478538,3.41,0.1
36,-39.03912198,110.960878,0.903,0.0339,2.38,0.2
36,38.24032077,188.2403208,59.26740593,1.626717807,2.2,0.2
36,-2.009661376,147.9903386,285.3989182,8.433149206,1.8,0.33
36,-39.39620809,110.6037919,151.4082954,2.846756163,1.68,7.43
36,37.98405645,187.9840565,59.33202261,0.0339,1.7,0.02
36,-2.206187512,147.7938125,95.95339727,5.4901726,1.67,0.41
36,-39.53724588,110.4627541,184.5941756,3.117875797,1.64,0.09
36,37.88284008,187.8828401,74.4262287,2.711196345,3.66,0.07
36,-2.283809164,147.7161908,37.54029834,9.645610152,2.01,0.5
36,-39.59295139,110.4070486,29.36628934,2.575636528,2.27,0.34
36,37.8428628,187.8428628,70.54748867,3.795674884,3.29,77.7
36,-2.31446728,147.6855327,41.12913321,3.050095889,150.63,9848.82
36,-39.61495331,110.3850467,95.21738859,8.072919262,36.91,2942.35
36,49.64423277,199.6442328,47.15550773,6.032411869,7.58,1914.46
36,16.42003243,166.4200324,551.0775735,6.642431046,19.79,6669.65
36,-18.74338719,131.2566128,367.2264896,8.133589036,24.63,328.31
