TANK,Cer_ug,Sca_ug,Dapp_ug,e_chl,i_chl
22,0.0224,0.0284,0.903,172.19,13.17
22,0.0224,0.0284,2.920300794,149.65,12.79
22,0.0224,0.056756122,3.797099337,274.87,15.41
22,0.0224,16.49891187,26.44598854,76.49,17.31
22,1.449784395,0.324734547,394.5646852,3.23,0.005
22,0.0224,8.556610456,2188.688717,1.89,0.95
22,0.0224,0.324734547,238.7415801,1.31,0.33
22,0.410633676,3.474369955,284.8120248,1.31,0.33
22,0.0224,26.720149,325.1235087,1.44,0.16
22,0.0224,0.0284,439.133538,1.67,0.14
22,0.0224,0.0284,0.903,1.3,0.15
22,0.179576298,61.94660495,56.50330349,1.4,0.19
22,8.186325492,100.5871191,0.903,1.53,0.06
22,164.4281867,6.866832037,0.903,1.45,0.01
22,213.160639,84.62060835,59.26740593,1.74,0.34
22,862.3161392,173.7817065,86.67183372,1.63,0.02
22,680.1909919,76.62576523,28.89061124,2.15,0.46
22,372.3235572,85.20107482,31.86297815,2.2,0.78
22,815.5014702,64.67089881,0.903,2.68,0.42
22,649.8211093,94.15563687,78.17126192,3.32,0.2
22,645.8607111,74.02788886,91.13038408,2.74,0.27
22,259.1516107,139.6816821,104.0895062,2.82,10.52
22,177.9012689,134.1582979,94.51927993,2.57,0.04
22,253.9653862,73.57383988,269.3491308,2.27,0.75
22,385.5262505,119.5539341,156.3425238,2.63,0.42
22,160.5780404,45.55185576,80.60880157,3.19,0.25
