TANK,FLUCT,Dapp_ug,e_chl,i_chl
16,150,1.991436134,94.77,0.005
16,150,1,109.98,2.93
16,150,9.214088944,136.38,14.64
16,150,7.408425742,80.99,0.09
16,150,465.2079806,2.88,0.02
16,150,234.0405925,1.63,0.65
16,150,823.6806509,1.07,0.31
16,150,123.7139624,1.07,0.31
16,150,1134.136423,1.82,0.4
16,150,510.6690405,1.06,0.37
16,150,206.0763611,0.94,0.07
16,150,184.2001382,1.11,0.005
16,150,27.4564939,1.23,0.17
16,150,68.4519203,1.35,0.43
16,150,92.66863366,1.63,0.44
16,150,219.9051987,1.4,0.02
16,150,261.048498,1.83,0.13
16,150,145.0624411,1.72,0.13
16,150,98.06313173,2.36,0.64
16,150,62.55925259,2.7,0.36
16,150,20.62787849,3.29,0.2
16,150,139.2963972,5.13,0.85
16,150,57.61794108,4.01,0.36
16,150,93.33008469,3.63,0.6
16,150,685.3522608,3.5,0.53
16,150,168.5514712,3.24,0.44
17,150,1,110.77,0.005
17,150,2.362981998,106.82,6.15
17,150,1,188.4,19.87
17,150,202.7253653,37.66,0.07
17,150,305.3749135,1.56,0.15
17,150,713.6014278,1.6,1.21
17,150,384.4950468,0.98,0.005
17,150,478.2854011,0.98,0.005
17,150,693.3746697,1.48,0.03
17,150,908.0332433,1.53,0.14
17,150,72.59807396,1.2,0.54
17,150,112.3747305,1.21,0.29
17,150,99.86879493,1.1,0.12
17,150,275.7612173,0.84,0.04
17,150,56.95649005,1.12,0.15
17,150,204.6943099,1.15,0.15
17,150,245.6743278,1.12,0.69
17,150,87.60069838,1.16,0.25
17,150,294.746714,1.34,0.24
17,150,39.08563096,1.28,0.51
17,150,66.67583168,1.05,0.2
17,150,66.80953849,1.23,0.44
17,150,191.7718453,1.3,0.07
17,150,49.12445233,1.31,0.6
17,150,13.38273414,1.5,0.5
17,150,170.1263784,1.66,0.4
27,113,10.88604533,130.69,0.005
27,177,67.57512175,85.46,5.77
27,139,107.8795225,7.24,0.79
27,104,233.8606602,3.25,0.01
27,171,150.39779,5.14,0.005
27,134,374.0326135,2.47,0.2
27,101,263.1228173,2.35,0.44
27,168,612.1577257,2.35,0.44
27,133,488.0047428,3.08,0.09
27,99,503.8629166,3.76,0.33
27,167,727.1711773,2.04,0.23
27,132,634.0930977,2.12,0.08
27,99,294.2118867,1.96,0.07
27,167,19.35704255,2.5,0.005
27,131,3.797099337,1.81,12.32
27,99,1,21.17,2463.76
27,167,1,5.14,0.67
27,131,1,111.85,681.52
27,99,1,26.77,5.21
27,166,6.345854267,49.59,5.9
27,131,56.65950184,36.59,30.1
27,99,1295.26903,491.62,9507.83
27,166,123.1720521,6.62,1266.76
27,131,219.1029579,7.07,9992.38
27,99,11.73326929,19.36,2138.47
27,166,82.81558522,3.18,1.73
60,161,1,33.55,1.14
60,120,3.982872269,100.86,19.27
60,207,138.0634613,101.32,7.04
60,153,818.7538769,3.92,0.005
60,114,882.2049651,5.07,0.34
60,203,1475.309719,5.01,0.31
60,150,457.8220464,3.05,0.18
60,112,327.9325942,3.05,0.18
60,201,480.5146763,4.78,0.57
60,148,1090.963788,5.75,2.4
60,111,359.2903197,3.48,0.26
60,188,707.0485515,4.15,0.86
60,148,516.0339639,4.12,0.18
60,111,1088.452933,3.07,0.38
60,188,632.5477651,3.62,0.85
60,148,1696.343722,2,0.15
60,110,619.8110735,2.63,0.44
60,188,436.1682541,3.39,0.87
60,148,572.759698,2.75,0.34
60,110,560.8110812,2.54,0.57
60,188,361.3113304,2.78,0.52
60,148,422.6743047,2.87,0.75
60,110,261.7999152,3.3,0.45
60,200,636.4265051,3.06,0.47
60,166,3217.147803,3.76,0.42
60,131,182.6181479,3.91,2.72
67,150,2.177209066,103.31,8
67,150,1,121.27,8.64
67,150,16.72664692,120.13,25.55
67,150,70.78532771,37.05,0.005
67,150,1015.452496,1.99,0.23
67,150,106.0513678,2.33,0.04
67,150,637.0204816,1.88,0.25
67,150,155.4432338,1.88,0.25
67,150,103.5842536,1.96,0.005
67,150,283.7944364,1.75,0.37
67,150,388.5820513,1.62,6.43
67,150,289.0848023,1.7,0.56
67,150,395.5964397,1.99,0.11
67,150,358.1011244,1.48,0.19
67,150,250.504424,1.91,0.45
67,150,312.0011051,1.7,0.07
67,150,396.6519281,2.62,0.9
67,150,373.6469015,3.01,0.95
67,150,1174.173411,3.32,0.005
67,150,666.2684726,2.36,3.18
67,150,610.181698,2.35,0.48
67,150,359.7364232,2.28,1.52
67,150,786.2894679,2.43,1.02
67,150,932.5552703,2.44,1.12
67,150,311.094732,1.83,7.41
67,150,121.8787246,2.39,0.86
76,161,1,131.11,7.27
76,120,1,84.41,0.005
76,207,2.362981998,25.28,6.33
76,153,350.3744613,7.05,0.8
76,114,245.5110464,1.65,0.42
76,203,821.5696741,2.01,0.1
76,150,774.0426205,3.13,0.3
76,112,148.7258336,3.13,0.3
76,201,454.7597134,2.66,0.43
76,148,244.931236,4.26,0.36
76,111,108.8154702,2.08,0.07
76,188,100.106634,1.83,0.54
76,148,91.21202478,2.84,0.005
76,111,211.180954,1.6,0.32
76,188,72.65014008,1.92,0.04
76,148,231.2148561,1.56,0.08
76,110,18.79972375,2.04,0.36
76,188,17.57387088,3.26,0.21
76,148,163.0007748,2.2,0.01
76,110,7.460491859,2.13,0.25
76,188,23.02043507,1.73,0.31
76,148,60.45660118,6.65,3066.85
76,110,31.59556452,2.32,242.86
76,200,10.29915196,9.88,437.76
76,166,112.2860068,53.18,1156.71
76,131,70.86696841,9.04,730.9
104,150,1,115.49,3.51
104,150,1,148.84,0.005
104,150,1,147.19,3.01
104,150,1,105.7,0.005
104,150,14.49737174,59.76,1.76
104,150,45.29777841,70.17,39.03
104,150,187.3878526,3.65,1.01
104,150,373.4386371,3.65,1.01
104,150,645.7743009,2.71,0.3
104,150,937.9651769,3,0.08
104,150,947.861966,30.67,1.09
104,150,339.5688143,2.15,0.39
104,150,140.3885432,2.5,0.06
104,150,314.6610753,2.53,0.12
104,150,565.5961943,2.12,0.39
104,150,162.2422746,2.15,0.25
104,150,446.0958602,2.55,0.5
104,150,238.6007903,1.92,0.005
104,150,640.6626249,2.11,0.66
104,150,308.0998735,1.86,0.29
104,150,85.57968766,1.97,0.3
104,150,282.4940259,2.02,0.76
104,150,117.8591947,4.04,2156.25
104,150,69.85646306,17.45,467.06
104,150,416.8657625,133.26,2469.39
104,150,30.82289821,45.9,6442.13
