TANK,FLUCT,Cer_ug,Sca_ug,e_chl,i_chl
6,161,0.045,15.26252369,63.67,0.6
6,120,0.045,79.11592324,139.89,7.97
6,207,0.045,211.279328,99.71,15.87
6,153,0.045,359.4848336,9.45,0.11
6,114,0.045,530.224885,26.31,1.73
6,203,0.045,6080.404477,3.25,0.19
6,150,0.045,487.1934741,1.19,0.37
6,112,0.045,2289.288502,1.19,0.37
6,201,1.642534702,244.5875364,1.36,0.01
6,148,12.21604811,372.0304367,1.48,0.25
6,111,31.36138762,397.3539375,1.64,0.39
6,188,82.22240752,372.3812437,5.78,2.99
6,148,155.7821764,111.0534211,1.56,0.33
6,111,142.5209027,21.64080544,4.9,0.005
6,188,158.0376242,37.73241615,5.25,2.32
6,148,322.5302754,122.479442,4.05,0.73
6,110,182.4121645,134.9399784,2.98,0.39
6,188,217.7242307,97.00634822,5.35,0.47
6,148,88.87159038,72.33811044,9.67,1.39
6,110,64.33410209,69.86888976,27.61,12.54
6,188,57.02173999,107.3217397,45.34,3.43
6,148,95.13284272,73.54934688,68.85,3.12
6,110,37.90517841,39.41640069,182.62,9.48
6,200,16.84793975,45.86078812,215.79,15.25
6,166,14.31411056,62.65572711,382.77,22.51
6,131,10.16287973,10.99067108,358.63,21.41
9,150,0.045,29.87557829,98.66,0.005
9,150,0.045,66.86726791,98.38,3.52
9,150,0.045,322.5404157,97.43,4.18
9,150,0.045,2472.898105,9.5,0.89
9,150,0.045,236.7227936,1.16,0.07
9,150,3.509539777,50.65569233,17.02,1.46
9,150,40.6251709,367.3661644,18.73,0.005
9,150,515.54921,1056.092589,18.73,0.005
9,150,166.937395,173.8939012,3.33,0.63
9,150,84.89456381,228.4661628,4.56,0.71
9,150,157.5779393,396.0950325,162.44,68.79
9,150,415.6520922,242.3378321,2.93,1.32
9,150,413.5498727,67.77444515,36.65,20.1
9,150,193.4023864,252.2610659,2.36,0.005
9,150,260.7463092,79.20046608,4.17,1.09
9,150,356.3100588,143.7217719,7.96,1.12
9,150,160.3984641,84.14338385,11.44,1.6
9,150,105.7829703,14.93199526,15.46,1.25
9,150,125.4885269,45.32483127,39.3,1.27
9,150,78.46326431,7.929396172,56.1,3.27
9,150,107.9403158,10.9245654,45.02,2.42
9,150,84.60959543,17.56147601,50.67,0.31
9,150,59.62924119,22.60565951,56.6,3.52
9,150,46.89959725,27.2309541,44.23,2.55
9,150,128.3175563,20.85267235,58.96,13.47
9,150,209.5200619,6.23316513,8.76,47.99
23,150,0.045,5.520487292,213.7,6.13
23,150,0.045,7.159962211,257.97,12.92
23,150,0.045,81.90566405,286.66,10.76
23,150,0.410633676,173.1858346,59.96,0.9
23,150,0.045,205.3870964,53.58,0.005
23,150,0.045,269.0982763,32.3,0.92
23,150,4.362527193,953.8104211,35.18,0.27
23,150,61.00119648,2262.916771,35.18,0.27
23,150,29.22015826,45.09135416,26.45,3
23,150,608.345131,72.41290695,1.18,0.1
23,150,0.045,0.0284,1.1,0.29
23,150,154.2401739,41.61764295,1.81,0.5
23,150,94.82395624,30.06520452,1.94,0.18
23,150,354.2341873,10.22768975,2,0.56
23,150,180.1088805,24.4154028,2.58,0.9
23,150,152.1809307,38.18646513,9.95,5.66
23,150,95.3099891,24.4154028,26.79,1.32
23,150,227.2729824,22.72562438,41.36,329.46
23,150,314.5235262,32.33544941,41.66,5.39
23,150,259.972878,53.25067176,57.25,3.56
23,150,108.6400749,52.6299101,50.31,0.92
23,150,113.9980737,36.71436163,60.56,4.23
23,150,71.01084794,13.34572078,68.95,1.86
23,150,72.69827671,15.32573243,76.03,16.44
23,150,9.110555002,7.468894572,76.53,6.83
23,150,8.571826108,2.922610919,43,3.65
25,113,0.045,8.443098212,64.64,1.1
25,177,0.045,54.52090252,43.54,2.26
25,139,0.045,545.7752689,40.7,0.2
25,104,0.045,2217.787915,4.37,0.2
25,171,0.045,22.80397657,1.97,0.06
25,134,3.913586448,34.34706543,13.47,2.62
25,101,26.27812532,153.9455092,24.18,6.76
25,168,285.9202476,2149.603645,24.18,6.76
25,133,193.8162839,20.84621973,1.47,3.06
25,99,140.6353516,20.29156375,1.98,0.13
25,167,344.9752638,44.79598579,1.58,0.11
25,132,293.2378506,60.00399155,1.61,0.26
25,99,542.5342531,55.58991927,2.36,0.29
25,167,23.8670193,93.4745634,1.85,0.05
25,131,336.2502095,29.15710657,2.42,0.36
25,99,129.1424685,55.58991927,7.67,20.68
25,167,91.38565856,32.43605641,34.24,2.18
25,131,59.33231376,22.53599815,52.02,5.08
25,99,98.34129798,109.0876321,155.31,19.75
25,166,77.19011408,17.06291741,152.54,4.96
25,131,18.54854254,18.69593971,116.71,2.39
25,99,11.51628897,39.94011103,183.2,8.35
25,166,12.71646993,84.51644567,172.88,5.62
25,131,10.93925301,89.7783041,139.25,5.31
25,99,7.108867703,20.91877804,210.43,17.39
25,166,7.384819155,21.12354772,136.89,8.21
47,113,0.0339,0.0284,17.3,0.28
47,177,0.0339,0.97420364,93.16,5.03
47,139,0.0339,3.505974327,93.91,2.94
47,104,0.0339,2.629480745,57.76,0.005
47,171,0.0339,6.494690932,73.43,34.74
47,134,0.0339,0.324734547,41.66,10.17
47,101,0.0339,0.324734547,44.6,8.32
47,168,9.669044911,2.711388617,44.6,8.32
47,133,0.0339,0.056756122,19.38,19.17
47,99,3.285069405,0.056756122,30.79,5.54
47,167,0.0339,0.0284,64.94,0.44
47,132,1.642534702,0.0284,33.66,0.005
47,99,0.821267351,0.0284,19.94,0.44
47,167,6.204399208,0.0284,160.22,0.97
47,131,0.821267351,0.0284,101.99,3.98
47,99,0.0339,0.0284,43.68,4.9
47,167,0.0339,0.0284,129.36,8.82
47,131,2.457215049,0.0284,112.62,3.33
47,99,4.106336756,0.0284,77.59,18.21
47,166,1.276795101,0.0284,155,7.58
47,131,0.0339,0.324734547,120.03,7.24
47,99,0.044894075,0.056756122,93.8,4.3
47,166,0.044894075,0.0284,133.87,5.58
47,131,0.089788149,0.056756122,120.71,3.22
47,99,4.054855676,0.056756122,96.27,5.02
47,166,0.0339,0.0284,59.5,27.93
63,150,0.134682224,17.21093097,144.15,3.59
63,150,0.045,0.97420364,140.33,33.24
63,150,0.045,995.0124613,36.56,0.005
63,150,0.045,775.6678504,1.23,0.61
63,150,3.285069405,547.1795601,0.83,0.05
